,,,,,Total,,Q1,Q2,Q3,Q4,,FY1,,,,,,,,,,,
4P,Category,Channel,,,,,,,,,,1Month,2Month,3Month,4Month,5Month,6Month,7Month,8Month,9Month,10Month,11Month,12Month
,,,,,,,2025-01-01,25/04,25/07,25/10,,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
,,,,,,,2025-03-31,25/06,25/09,25/12,,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
,,,,,,,,,,,,,,,,,,,,,,,
Event,,,,,,,,,,,,・New Year Sales,,"・Megawari
・DRUG/GMS/CVS Shelving Change",,,・Megawari,・PD,,・Megawari,,"・Megawari
・BF
・Best Cosme","・Megawari
・BF
・Best Cosme"
Product,,,,,,,,,,,,,,,,,,,,,,,
,Main,,,,,,,,,,,Serum,,,,,,,,,,,
,Sub,,,,,,,,,,,Mask,,,,,Mask & Toner,,,,,,
,Exclusive,,,,,,,,,,,Eye Phalt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,EC,Qoo10,,,"¥6,588,372,093",,"¥507,304,651","¥1,502,148,837","¥2,160,986,047","¥2,417,932,558",,"¥6,588,372","¥13,176,744","¥487,539,535","¥26,353,488","¥26,353,488","¥1,449,441,860","¥32,941,860","¥32,941,860","¥2,095,102,326","¥46,118,605","¥2,325,695,349","¥46,118,605"
,,Amazon,,,"¥872,093,023",,"¥38,372,093","¥156,976,744","¥226,744,186","¥450,000,000",,"¥2,616,279","¥5,232,558","¥30,523,256","¥43,604,651","¥52,325,581","¥61,046,512","¥87,209,302","¥69,767,442","¥69,767,442","¥130,813,953","¥218,023,256","¥101,162,791"
,,Rakuten,,,"¥232,558,140",,"¥29,069,768","¥67,441,861","¥67,441,861","¥68,604,651",,"¥232,558","¥930,233","¥27,906,977","¥13,953,488","¥13,953,488","¥39,534,884","¥13,953,488","¥13,953,488","¥39,534,884","¥13,953,488","¥15,116,279","¥39,534,884"
,,TIkTok Shop,,,"¥813,953,488",,"¥43,139,535","¥130,232,558","¥217,325,581","¥423,255,814",,"¥2,441,860","¥16,279,070","¥24,418,605","¥40,697,674","¥40,697,674","¥48,837,209","¥97,674,419","¥56,976,744","¥62,674,419","¥97,674,419","¥122,093,023","¥203,488,372"
, Offline ,Variety,,,"¥2,574,418,605",,"¥77,232,558","¥399,034,884","¥888,174,419","¥1,209,976,744",,,,"¥77,232,558","¥90,104,651","¥128,720,930","¥180,209,302","¥218,825,581","¥360,418,605","¥308,930,233","¥334,674,419","¥411,906,977","¥463,395,349"
,,Drug,,,"¥918,604,651",,¥0,¥0,"¥459,302,326","¥459,302,326",,,,,,,,,,"¥459,302,326","¥137,790,698","¥183,720,930","¥137,790,698"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,累計,Qoo10,,,,,,,,,,"¥6,588,372","¥19,765,116","¥507,304,651","¥533,658,140","¥560,011,628","¥2,009,453,488","¥2,042,395,349","¥2,075,337,209","¥4,170,439,535","¥4,216,558,140","¥6,542,253,488","¥6,588,372,093"
,,Amazon,,,,,,,,,,"¥2,616,279","¥7,848,837","¥38,372,093","¥81,976,744","¥134,302,326","¥195,348,837","¥282,558,139","¥352,325,581","¥422,093,023","¥552,906,977","¥770,930,232","¥872,093,023"
,,Rakuten,,,,,,,,,,"¥232,558","¥1,162,791","¥29,069,768","¥43,023,256","¥56,976,744","¥96,511,628","¥110,465,117","¥124,418,605","¥163,953,489","¥177,906,977","¥193,023,256","¥232,558,140"
,,TIkTok Shop,,,,,,,,,,"¥2,441,860","¥18,720,930","¥43,139,535","¥83,837,209","¥124,534,884","¥173,372,093","¥271,046,512","¥328,023,256","¥390,697,674","¥488,372,093","¥610,465,116","¥813,953,488"
,,Variety,,,,,,,,,,,¥0,"¥77,232,558","¥167,337,209","¥296,058,140","¥476,267,442","¥695,093,023","¥1,055,511,628","¥1,364,441,861","¥1,699,116,279","¥2,111,023,256","¥2,574,418,605"
,,Drug,,,,,,,,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥459,302,326","¥597,093,023","¥780,813,954","¥918,604,651"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000","¥12,000,000,000"
