2026/01/30,kana,通常,IG,Ryusei,"part 1 | pov : my japanese sister wants to introduce her hair arrange but she cant speak english

#jbeauty #japan #sister #japanese #fyp",https://www.instagram.com/reel/DTO3oC8iVte/?igsh=emZ2ZXFiMXZlbm84,単品,2026/1/26 12:45:43,43,,"5,151",23,,,,,,,,0%,,,,,,,,,,,,,,,
2026/01/06,突撃ちゃん,通常,YT,Riho,ドンキでまだ買える！ロムアンドの福袋が今年も完璧すぎた #コスメ #美容 #メイク #福袋 #ドンキホーテ,https://youtube.com/shorts/6NliIifheqI?si=oDHcSUUEqoYCyyYV,単品,2026/01/29 11:23:33,30,"49,864",665,3,,,1.33%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/07,突撃ちゃん,通常,IG,Riho,"大バズりしてたスリコの福袋みんな買った？？私の中身はめっちゃ衝撃だった…🫢買った人は何が入ってたかコメントで教えてーー！

#福袋 #開封動画 #スリコ #おすすめ #アクセサリー",https://www.instagram.com/reel/DTNCNldETN-/?igsh=MWdja3d6dWNqaWZrcQ==,単品,2026/01/26 12:45:14,20,,271,1,,,,,,,,0%,,,,,,,,,,,,,,,
2026/01/07,kana,通常,TikTok,Ryusei,pov : my sister wants to teach japaneae phrase but she cant speak english #japanese #japan #kana #sister #fyp,https://www.tiktok.com/@princess.kana73/video/7587389622699740447,単品,2026/01/28 15:48:55,34,,"10,200",93,119,"1,169",,,,,,0%,,,,,,,,,,,,,,,
2026/01/06,デパコス,通常,TikTok,Moeka,ブルベ夏さん集合ー！！！#ysl #プランパー #グロス #リップ,https://www.tiktok.com/@buzzcosme_review/video/7592157351017270549?is_from_webapp=1&sender_device=pc&web_id=7539816830442046984,単品,2026/01/28 15:56:05,19,,"1,102",9,37,376,,,,,,0%,,,,,,,,,,,,,,,
2026/01/06,デパコス,通常,TikTok,Moeka,ブルベ夏さん集合ー！！！#ysl #プランパー #グロス #リップ,https://www.tiktok.com/@buzzcosme_review/video/7592157351017270549?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/28 15:55:37,19,,"1,102",9,37,376,,,,,,,,,,,,,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,pov : my Japanese sister wants to introduce her hair arrangement but she can’t speak English,https://youtube.com/shorts/9Zy1F2nQmCo?si=ZrakCWVgJUEDU7Ai,単品,2026/01/29 11:23:14,36,"53,490","2,171",61,,,4.06%,0.11%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/09,ビビちゃん,通常,IG,Maya,"ペリペラの商品名考えてる方どなたですか？参加はせてもらっても良いですか？？？？？？

#コスメ #ペリペラ #おすすめコスメ",https://www.instagram.com/reel/DTSLyd4Ei9o/?igsh=czh5NTY1cHllanQz,単品,2026/1/26 12:45:22,35,"128,000","3,514",4,,,2.75%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,POV : my japanese sister wants to try tongue twisters but she can’t speak English #japan #japanese,https://youtube.com/shorts/A-7bOQauuVw?si=ulJhBB4-77qn5oEk,単品,2026/1/29 11:23:18,17,"49,545","1,899",28,,,3.83%,0.06%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/07,コスメ俱楽部,通常,IG,Moeka,"みんなのリピなしファンデも教えて〜！！共有しよ📝💗

 #リピなし #ファンデ #コスメ #おすすめ #ベースメイク",https://www.instagram.com/reel/DTNCNEmEVKQ/?igsh,単品,2026/01/26 12:45:19,44,"171,000",449,8,,,0.26%,0.00%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,I sometimes teach her English pronunciation but she always forgets on next day #japan,https://youtube.com/shorts/7FKC1KTEMD8?si=K2zMQroR1DMg9M3L,単品,2026/1/29 11:23:17,33,"40,305","2,286",37,,,5.67%,0.09%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
2026/01/30,kana,通常,YT,Ryusei,pov : my Japanese sister wants to introduce Japanese McDonald’s but she can’t speak English fluently,https://youtube.com/shorts/ZZ2po8vcqNA?si=w5kx5oUAlHtaAGvH,単品,2026/01/29 11:23:20,54,"41,748","2,783",49,,,6.67%,0.12%,0.00%,0.00%,,0%,,,,,,,,,,,,,,,
