投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2026-01-23 00:00:00,ビビちゃん,通常,YT,Maya,【最新保存版】スリコでバズりすぎ⁉︎見つけたら強運な完売目前アイテム #shorts  #コスメ #美容 #メイク #購入品紹介 #3coins,https://youtube.com/shorts/lBpyYFqMWIQ?si=rCHyItLMRao1rmPE,単品,2026/01/26 12:28:54,41,22763,235,0,,,0.0103,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,ビビちゃん,通常,X(Twitter),Maya,スリコ,https://x.com/bibichan_cosme/status/2014535071429230780?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,怪獣ちゃん,通常,IG,,大人気の2aNから、待望の涙袋ライナーが登場！！✨これ1本でうるちゅる涙袋が作れて、Wで使えるのに1430円（楽天価格）ってコスパもバグすぎるから、アイメイク苦手で悩んでる子はぜひ試して👀#2an #涙袋 #涙袋ペンシル #おすすめ #コスメ怪獣ちゃん,https://www.instagram.com/reel/DT2O9DtE7zF/?igsh=MXg4NGprd2Y0cnRnaQ==,単品,2026/01/26 12:38:37,23,2154,93,0,,,0.0432,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,怪獣ちゃん,通常,YT,,涙袋ヒアル入れるのちょっと待って！ぷっくりも影も自在な神ライナー発見 #コスメ #美容 #メイク #購入品紹介 #おすすめ,https://youtube.com/shorts/ApUslH9bqTM?si=6qj5J6OmIOVotJvc,単品,2026/01/26 12:28:55,23,16725,168,0,,,0.01,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,怪獣ちゃん,通常,X(Twitter),,2aNライナー,https://x.com/cosme_kaiju/status/2014535547575009752?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,突撃ちゃん,通常,IG,,BBAコスメでバズってる、ちふれの下地買おうとしてる人ちょっと待って⁉️本当にいいのか正直レビューしちゃうよ！！！使ったことある人、情報共有しよー！！！！！！💨#ちふれ #バズり #コスメ #下地 #正直レビュー,https://www.instagram.com/reel/DT2O4PTExF6/?igsh=eTB2NjBiYTRsbTVi,単品,2026/01/26 12:38:44,15,12031,146,0,,,0.0121,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,突撃ちゃん,通常,YT,,ちふれでバズりかけてるトーンアップ下地まだ買わないでください🫢⁉︎ #コスメ #美容 #メイク #購入品紹介 #プチプラ,https://youtube.com/shorts/57adqao4Olc?si=ldPRcCE9fO--Ma1U,単品,2026/01/26 12:28:56,15,44320,286,1,,,0.006500000000000001,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,突撃ちゃん,通常,X(Twitter),,ちふれ下地,https://x.com/totsugeki_cosme/status/2014536140586680454?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,コスメ俱楽部,通常,IG,,ジョンセンムルの新作チークがレベチでかわいくて天才すぎ💕 #チーク #韓国コスメ #新作コスメ #tws #プチプラ,https://www.instagram.com/reel/DT2O9DuE33u/?igsh=MWJ3c3F0MG00cmo3ZQ==,単品,2026/01/26 12:38:51,21,20945,1060,8,,,0.0506,0.0004,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,コスメ俱楽部,通常,YT,,ジョンセンムルのクッションチークは正直もっとバズっていいと思います #コスメ #美容 #メイク #韓国コスメ #おすすめ,https://youtube.com/shorts/tp-Wet4m4Uk?si=eYiErmwzZ3jxWCfY,単品,2026/01/26 12:28:57,22,11653,129,0,,,0.0111,0.0,0.0,0.0,,0.0,,,,,,,
